EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,EXPSQ,YEAR,LOGWKS,ID,EXPB,WKSB,OCCB,INDB,SOUTHB,SMSAB,UNIONB,EXPSQB                    
34,49,1,0,0,1,0,1,0,10,1,6.3595700,1156,4,3.8918203,4,34,47.8571429,1,0,0,1,0,1160                  
35,44,1,0,0,1,0,1,0,10,1,6.4692500,1225,5,3.7841896,4,34,47.8571429,1,0,0,1,0,1160                  
36,52,1,0,0,1,0,1,0,10,1,6.5624400,1296,6,3.9512437,4,34,47.8571429,1,0,0,1,0,1160                  
37,46,1,0,0,1,0,1,0,10,1,6.6214100,1369,7,3.8286414,4,34,47.8571429,1,0,0,1,0,1160                  
10,50,1,0,0,0,1,0,1,16,0,6.4377500,100,1,3.9120230,5,13,47,.5714286,0,0,.1428571,.4285714,173       
11,46,1,0,0,0,1,0,1,16,0,6.6200700,121,2,3.8286414,5,13,47,.5714286,0,0,.1428571,.4285714,173       
12,40,1,0,0,0,1,0,1,16,0,6.6333200,144,3,3.6888795,5,13,47,.5714286,0,0,.1428571,.4285714,173       
13,50,0,0,0,0,1,0,0,16,0,6.9828600,169,4,3.9120230,5,13,47,.5714286,0,0,.1428571,.4285714,173       
14,47,1,0,0,1,1,0,0,16,0,7.0475200,196,5,3.8501476,5,13,47,.5714286,0,0,.1428571,.4285714,173       
15,47,0,0,0,0,1,0,0,16,0,7.3132200,225,6,3.8501476,5,13,47,.5714286,0,0,.1428571,.4285714,173       
16,49,0,0,0,0,1,0,0,16,0,7.2957400,256,7,3.8918203,5,13,47,.5714286,0,0,.1428571,.4285714,173       
26,44,1,1,0,1,1,0,0,12,0,6.9057500,676,1,3.7841896,6,29,45.8571429,1,1,0,1,0,845                    
27,47,1,1,0,1,1,0,0,12,0,6.9057500,729,2,3.8501476,6,29,45.8571429,1,1,0,1,0,845                    
28,47,1,1,0,1,1,0,0,12,0,6.9077600,784,3,3.8501476,6,29,45.8571429,1,1,0,1,0,845                    
29,47,1,1,0,1,1,0,0,12,0,7.0030700,841,4,3.8501476,6,29,45.8571429,1,1,0,1,0,845                    
30,44,1,1,0,1,1,0,0,12,0,7.0690200,900,5,3.7841896,6,29,45.8571429,1,1,0,1,0,845                    
31,45,1,1,0,1,1,0,0,12,0,7.5202300,961,6,3.8066625,6,29,45.8571429,1,1,0,1,0,845                    
32,47,1,1,0,1,1,0,0,12,0,7.3388900,1024,7,3.8501476,6,29,45.8571429,1,1,0,1,0,845                   
15,46,1,0,0,0,1,0,1,12,0,6.1334000,225,1,3.8286414,7,18,47.2857143,1,0,0,0,1,328                    
16,48,1,0,0,0,1,0,1,12,0,6.1737900,256,2,3.8712010,7,18,47.2857143,1,0,0,0,1,328                    
17,49,1,0,0,0,1,0,1,12,0,6.2126100,289,3,3.8918203,7,18,47.2857143,1,0,0,0,1,328                    
18,46,1,0,0,0,1,0,1,12,0,6.3135500,324,4,3.8286414,7,18,47.2857143,1,0,0,0,1,328                    
19,47,1,0,0,0,1,0,1,12,0,6.3750200,361,5,3.8501476,7,18,47.2857143,1,0,0,0,1,328                    
20,47,1,0,0,0,1,0,1,12,0,6.4457200,400,6,3.8501476,7,18,47.2857143,1,0,0,0,1,328                    
21,48,1,0,0,0,1,0,1,12,0,6.5220900,441,7,3.8712010,7,18,47.2857143,1,0,0,0,1,328                    
23,51,1,1,1,0,1,0,1,10,0,6.3315000,529,1,3.9318256,8,26,49.5714286,1,1,.5714286,.4285714,1,680      
24,50,1,1,1,0,1,0,1,10,0,6.4035700,576,2,3.9120230,8,26,49.5714286,1,1,.5714286,.4285714,1,680      
25,50,1,1,1,0,1,0,1,10,0,6.5439100,625,3,3.9120230,8,26,49.5714286,1,1,.5714286,.4285714,1,680      
26,50,1,1,1,0,1,0,1,10,0,6.5624400,676,4,3.9120230,8,26,49.5714286,1,1,.5714286,.4285714,1,680      
27,44,1,1,0,1,1,0,1,10,0,6.5916700,729,5,3.7841896,8,26,49.5714286,1,1,.5714286,.4285714,1,680      
28,51,1,1,0,1,1,0,1,10,0,6.8178300,784,6,3.9318256,8,26,49.5714286,1,1,.5714286,.4285714,1,680      
29,51,1,1,0,1,1,0,1,10,0,6.8916300,841,7,3.9318256,8,26,49.5714286,1,1,.5714286,.4285714,1,680      
3,50,0,0,1,1,1,0,0,16,0,6.5510800,9,1,3.9120230,9,6,48,0,0,1,1,0,40             
4,48,0,0,1,1,1,0,0,16,0,6.5510800,16,2,3.8712010,9,6,48,0,0,1,1,0,40            
5,50,0,0,1,1,1,0,0,16,0,6.8023900,25,3,3.9120230,9,6,48,0,0,1,1,0,40            
6,48,0,0,1,1,1,0,0,16,0,6.9077600,36,4,3.8712010,9,6,48,0,0,1,1,0,40            
7,48,0,0,1,1,1,0,0,16,0,7.0900800,49,5,3.8712010,9,6,48,0,0,1,1,0,40            
8,44,0,0,1,1,1,0,0,16,0,7.1701200,64,6,3.7841896,9,6,48,0,0,1,1,0,40            
9,48,0,0,1,1,1,0,0,16,0,7.2078600,81,7,3.8712010,9,6,48,0,0,1,1,0,40            
3,49,0,0,1,1,1,0,0,16,0,6.3969300,9,1,3.8918203,10,6,43.2857143,0,0,1,1,0,40    
4,47,0,0,1,1,1,0,0,16,0,6.4377500,16,2,3.8501476,10,6,43.2857143,0,0,1,1,0,40   
5,46,0,0,1,1,1,0,0,16,0,6.4377500,25,3,3.8286414,10,6,43.2857143,0,0,1,1,0,40   
6,44,0,0,1,1,1,0,0,16,0,6.4377500,36,4,3.7841896,10,6,43.2857143,0,0,1,1,0,40   
7,43,0,0,1,1,1,0,0,16,0,6.5220900,49,5,3.7612001,10,6,43.2857143,0,0,1,1,0,40   
8,34,0,0,1,1,1,0,0,16,0,6.6133800,64,6,3.5263605,10,6,43.2857143,0,0,1,1,0,40   
9,40,0,0,1,1,1,0,0,16,0,6.7393400,81,7,3.6888795,10,6,43.2857143,0,0,1,1,0,40   
24,47,1,0,0,1,0,0,1,12,0,6.6580100,576,1,3.8501476,11,27,42.2857143,1,0,0,1,1,733                   
25,48,1,0,0,1,0,0,1,12,0,6.7262300,625,2,3.8712010,11,27,42.2857143,1,0,0,1,1,733                   
26,45,1,0,0,1,0,0,1,12,0,6.8023900,676,3,3.8066625,11,27,42.2857143,1,0,0,1,1,733                   
27,45,1,0,0,1,1,0,1,12,0,6.9077600,729,4,3.8066625,11,27,42.2857143,1,0,0,1,1,733                   
28,47,1,0,0,1,1,0,1,12,0,7.0396600,784,5,3.8501476,11,27,42.2857143,1,0,0,1,1,733                   
29,17,1,0,0,1,1,0,1,12,0,7.1276900,841,6,2.8332133,11,27,42.2857143,1,0,0,1,1,733                   
30,47,1,0,0,1,1,0,1,12,0,7.2442300,900,7,3.8501476,11,27,42.2857143,1,0,0,1,1,733                   
21,47,1,0,1,1,1,0,1,12,0,6.5510800,441,1,3.8501476,12,24,46.7142857,1,0,1,1,1,580                   
22,46,1,0,1,1,1,0,1,12,0,6.6293600,484,2,3.8286414,12,24,46.7142857,1,0,1,1,1,580                   
23,47,1,0,1,1,1,0,1,12,0,6.7226300,529,3,3.8501476,12,24,46.7142857,1,0,1,1,1,580                   
24,47,1,0,1,1,1,0,1,12,0,6.7334000,576,4,3.8501476,12,24,46.7142857,1,0,1,1,1,580                   
25,47,1,0,1,1,1,0,1,12,0,6.7226300,625,5,3.8501476,12,24,46.7142857,1,0,1,1,1,580                   
26,47,1,0,1,1,1,0,1,12,0,6.9517700,676,6,3.8501476,12,24,46.7142857,1,0,1,1,1,580                   
27,46,1,0,1,1,1,0,1,12,0,7.0527200,729,7,3.8286414,12,24,46.7142857,1,0,1,1,1,580                   
26,48,1,0,1,1,1,0,0,12,0,6.9057500,676,1,3.8712010,13,29,47.7142857,.8571429,0,1,1,0,845            
27,48,1,0,1,1,1,0,0,12,0,6.9007300,729,2,3.8712010,13,29,47.7142857,.8571429,0,1,1,0,845            
28,50,1,0,1,1,1,0,0,12,0,7.1701200,784,3,3.9120230,13,29,47.7142857,.8571429,0,1,1,0,845            
29,48,1,0,1,1,1,0,0,12,0,7.2654300,841,4,3.8712010,13,29,47.7142857,.8571429,0,1,1,0,845            
30,48,1,0,1,1,1,0,0,12,0,7.2591200,900,5,3.8712010,13,29,47.7142857,.8571429,0,1,1,0,845            
31,46,0,0,1,1,1,0,0,12,0,7.2548800,961,6,3.8286414,13,29,47.7142857,.8571429,0,1,1,0,845            
32,46,1,0,1,1,1,0,0,12,0,7.4000100,1024,7,3.8286414,13,29,47.7142857,.8571429,0,1,1,0,845           
15,45,0,0,1,1,1,0,0,17,0,6.8023900,225,1,3.8066625,14,18,44.4285714,0,0,1,1,0,328                   
16,45,0,0,1,1,1,0,0,17,0,6.8023900,256,2,3.8066625,14,18,44.4285714,0,0,1,1,0,328                   
17,45,0,0,1,1,1,0,0,17,0,6.9256000,289,3,3.8066625,14,18,44.4285714,0,0,1,1,0,328                   
18,44,0,0,1,1,1,0,0,17,0,7.0030700,324,4,3.7841896,14,18,44.4285714,0,0,1,1,0,328                   
19,44,0,0,1,1,1,0,0,17,0,7.1309000,361,5,3.7841896,14,18,44.4285714,0,0,1,1,0,328                   
20,44,0,0,1,1,1,0,0,17,0,7.1244800,400,6,3.7841896,14,18,44.4285714,0,0,1,1,0,328                   
21,44,0,0,1,1,1,0,0,17,0,7.1228700,441,7,3.7841896,14,18,44.4285714,0,0,1,1,0,328                   
9,50,0,0,0,0,0,1,0,14,0,5.9401700,81,1,3.9120230,15,12,46.7142857,0,0,0,0,0,148 
10,46,0,0,0,0,0,1,0,14,0,5.8607900,100,2,3.8286414,15,12,46.7142857,0,0,0,0,0,148                   
11,48,0,0,0,0,0,1,0,14,0,5.9989400,121,3,3.8712010,15,12,46.7142857,0,0,0,0,0,148                   
12,46,0,0,0,0,0,1,0,14,0,6.0845000,144,4,3.8286414,15,12,46.7142857,0,0,0,0,0,148                   
13,48,0,0,0,0,0,1,0,14,0,6.3952600,169,5,3.8712010,15,12,46.7142857,0,0,0,0,0,148                   
14,41,0,0,0,0,0,1,0,14,0,6.4769700,196,6,3.7135721,15,12,46.7142857,0,0,0,0,0,148                   
15,48,0,0,0,0,0,1,0,14,0,6.4769700,225,7,3.8712010,15,12,46.7142857,0,0,0,0,0,148                   
16,50,1,0,1,1,0,1,0,12,1,5.9788900,256,1,3.9120230,16,19,49.2857143,1,0,1,1,0,365                   
17,50,1,0,1,1,0,1,0,12,1,5.7838300,289,2,3.9120230,16,19,49.2857143,1,0,1,1,0,365                   
18,48,1,0,1,1,0,1,0,12,1,5.8579300,324,3,3.8712010,16,19,49.2857143,1,0,1,1,0,365                   
19,48,1,0,1,1,0,1,0,12,1,5.9532400,361,4,3.8712010,16,19,49.2857143,1,0,1,1,0,365                   
20,50,1,0,1,1,0,1,0,12,1,6.1463300,400,5,3.9120230,16,19,49.2857143,1,0,1,1,0,365                   
21,50,1,0,1,1,0,1,0,12,1,6.1758700,441,6,3.9120230,16,19,49.2857143,1,0,1,1,0,365                   
22,49,1,0,1,1,0,1,0,12,1,6.3885600,484,7,3.8918203,16,19,49.2857143,1,0,1,1,0,365                   
16,49,0,1,0,0,1,0,0,14,0,6.6200700,256,1,3.8918203,17,19,48.5714286,0,1,0,0,0,365                   
17,48,0,1,0,0,1,0,0,14,0,6.4922400,289,2,3.8712010,17,19,48.5714286,0,1,0,0,0,365                   
18,49,0,1,0,0,1,0,0,14,0,6.7799200,324,3,3.8918203,17,19,48.5714286,0,1,0,0,0,365                   
19,50,0,1,0,0,1,0,0,14,0,6.7452400,361,4,3.9120230,17,19,48.5714286,0,1,0,0,0,365                   
20,51,0,1,0,0,1,0,0,14,0,7.0900800,400,5,3.9318256,17,19,48.5714286,0,1,0,0,0,365                   
21,46,0,1,0,0,1,0,0,14,0,7.1309000,441,6,3.8286414,17,19,48.5714286,0,1,0,0,0,365                   
22,47,0,1,0,0,1,0,0,14,0,7.1309000,484,7,3.8501476,17,19,48.5714286,0,1,0,0,0,365                   
25,47,0,1,1,1,1,0,0,16,0,6.9057500,625,1,3.8501476,18,28,47,0,1,1,1,0,788       
26,46,0,1,1,1,1,0,0,16,0,6.9057500,676,2,3.8286414,18,28,47,0,1,1,1,0,788       
27,47,0,1,1,1,1,0,0,16,0,7.6009000,729,3,3.8501476,18,28,47,0,1,1,1,0,788       
28,47,0,1,1,1,1,0,0,16,0,7.6496900,784,4,3.8501476,18,28,47,0,1,1,1,0,788       
29,47,0,1,1,1,1,0,0,16,0,7.7186900,841,5,3.8501476,18,28,47,0,1,1,1,0,788       
30,48,0,1,1,1,1,0,0,16,0,7.7832200,900,6,3.8712010,18,28,47,0,1,1,1,0,788       
31,47,0,1,1,1,1,0,0,16,0,7.8038400,961,7,3.8501476,18,28,47,0,1,1,1,0,788       
40,37,1,1,0,1,1,0,1,12,0,6.3868800,1600,1,3.6109179,19,43,42.1428571,1,1,0,1,1,1853                 
41,49,1,1,0,1,1,0,1,12,0,6.4738900,1681,2,3.8918203,19,43,42.1428571,1,1,0,1,1,1853                 
42,50,1,1,0,1,1,0,1,12,0,6.5424700,1764,3,3.9120230,19,43,42.1428571,1,1,0,1,1,1853                 
43,47,1,1,0,1,1,0,1,12,0,6.6758200,1849,4,3.8501476,19,43,42.1428571,1,1,0,1,1,1853                 
44,47,1,1,0,1,1,0,1,12,0,6.7417000,1936,5,3.8501476,19,43,42.1428571,1,1,0,1,1,1853                 
45,25,1,1,0,1,1,0,1,12,0,6.8319500,2025,6,3.2188758,19,43,42.1428571,1,1,0,1,1,1853                 
46,40,1,1,0,1,1,0,1,12,0,6.9363400,2116,7,3.6888795,19,43,42.1428571,1,1,0,1,1,1853                 
25,50,0,0,0,0,1,0,0,16,0,6.7833300,625,1,3.9120230,20,28,48.7142857,0,.8571429,0,0,0,788            
26,49,0,1,0,0,1,0,0,16,0,6.8575100,676,2,3.8918203,20,28,48.7142857,0,.8571429,0,0,0,788            
27,49,0,1,0,0,1,0,0,16,0,6.9847200,729,3,3.8918203,20,28,48.7142857,0,.8571429,0,0,0,788            
28,48,0,1,0,0,1,0,0,16,0,7.0579000,784,4,3.8712010,20,28,48.7142857,0,.8571429,0,0,0,788            
29,48,0,1,0,0,1,0,0,16,0,7.2056400,841,5,3.8712010,20,28,48.7142857,0,.8571429,0,0,0,788            
30,49,0,1,0,0,1,0,0,16,0,7.1098800,900,6,3.8918203,20,28,48.7142857,0,.8571429,0,0,0,788            
31,48,0,1,0,0,1,0,0,16,0,7.2668300,961,7,3.8712010,20,28,48.7142857,0,.8571429,0,0,0,788            
28,42,1,1,1,0,1,0,1,4,0,6.0591200,784,1,3.7376696,21,31,45.8571429,1,.7142857,1,0,1,965             
29,46,1,1,1,0,1,0,1,4,0,6.0520900,841,2,3.8286414,21,31,45.8571429,1,.7142857,1,0,1,965             
30,49,1,1,1,0,1,0,1,4,0,5.9914600,900,3,3.8918203,21,31,45.8571429,1,.7142857,1,0,1,965             
31,49,1,1,1,0,1,0,1,4,0,6.2146100,961,4,3.8918203,21,31,45.8571429,1,.7142857,1,0,1,965             
32,48,1,0,1,0,1,0,1,4,0,6.3243600,1024,5,3.8712010,21,31,45.8571429,1,.7142857,1,0,1,965            
33,45,1,0,1,0,1,0,1,4,0,6.4425400,1089,6,3.8066625,21,31,45.8571429,1,.7142857,1,0,1,965            
34,42,1,1,1,0,1,0,1,4,0,6.4425400,1156,7,3.7376696,21,31,45.8571429,1,.7142857,1,0,1,965            
20,46,0,0,0,0,1,0,0,14,0,6.5998700,400,1,3.8286414,22,23,46.5714286,0,.1428571,0,0,0,533            
21,45,0,0,0,0,1,0,0,14,0,6.5998700,441,2,3.8066625,22,23,46.5714286,0,.1428571,0,0,0,533            
22,44,0,0,0,0,1,0,0,14,0,6.6846100,484,3,3.7841896,22,23,46.5714286,0,.1428571,0,0,0,533            
23,46,0,0,0,0,1,0,0,14,0,6.7274300,529,4,3.8286414,22,23,46.5714286,0,.1428571,0,0,0,533            
24,47,0,0,0,0,1,0,0,14,0,6.8824400,576,5,3.8501476,22,23,46.5714286,0,.1428571,0,0,0,533            
25,51,0,1,0,0,1,0,0,14,0,6.9565500,625,6,3.9318256,22,23,46.5714286,0,.1428571,0,0,0,533            
26,47,0,0,0,0,1,0,0,14,0,7.0475200,676,7,3.8501476,22,23,46.5714286,0,.1428571,0,0,0,533            
11,50,0,0,0,1,1,0,0,16,0,6.9057500,121,1,3.9120230,23,14,49.4285714,0,0,0,1,0,200                   
12,50,0,0,0,1,1,0,0,16,0,6.9057500,144,2,3.9120230,23,14,49.4285714,0,0,0,1,0,200                   
13,51,0,0,0,1,1,0,0,16,0,7.4955400,169,3,3.9318256,23,14,49.4285714,0,0,0,1,0,200                   
14,50,0,0,0,1,1,0,0,16,0,7.6615300,196,4,3.9120230,23,14,49.4285714,0,0,0,1,0,200                   
15,48,0,0,0,1,1,0,0,16,0,7.8632700,225,5,3.8712010,23,14,49.4285714,0,0,0,1,0,200                   
16,47,0,0,0,1,1,0,0,16,0,8.0391600,256,6,3.8501476,23,14,49.4285714,0,0,0,1,0,200                   
17,50,0,0,0,1,1,0,0,16,0,7.8935700,289,7,3.9120230,23,14,49.4285714,0,0,0,1,0,200                   
5,30,0,0,0,0,0,1,0,12,0,5.4380800,25,1,3.4011974,24,8,47.7142857,.7142857,0,0,0,.1428571,68         
6,51,0,0,0,0,0,1,0,12,0,5.5214600,36,2,3.9318256,24,8,47.7142857,.7142857,0,0,0,.1428571,68         
7,51,1,0,0,0,0,1,0,12,0,5.5797300,49,3,3.9318256,24,8,47.7142857,.7142857,0,0,0,.1428571,68         
8,52,1,0,0,0,0,1,0,12,0,5.6698800,64,4,3.9512437,24,8,47.7142857,.7142857,0,0,0,.1428571,68         
9,49,1,0,0,0,0,1,0,12,0,5.7365700,81,5,3.8918203,24,8,47.7142857,.7142857,0,0,0,.1428571,68         
10,51,1,0,0,0,0,1,1,12,0,5.8435400,100,6,3.9318256,24,8,47.7142857,.7142857,0,0,0,.1428571,68       
11,50,1,0,0,0,0,1,0,12,0,5.8579300,121,7,3.9120230,24,8,47.7142857,.7142857,0,0,0,.1428571,68       
8,37,0,0,0,1,1,0,1,17,0,6.5294200,64,1,3.6109179,25,11,38.8571429,0,0,0,1,1,125 
9,39,0,0,0,1,1,0,1,17,0,6.5792500,81,2,3.6635616,25,11,38.8571429,0,0,0,1,1,125 
10,40,0,0,0,1,1,0,1,17,0,6.7153800,100,3,3.6888795,25,11,38.8571429,0,0,0,1,1,125                   
11,38,0,0,0,1,1,0,1,17,0,6.6846100,121,4,3.6375862,25,11,38.8571429,0,0,0,1,1,125                   
12,38,0,0,0,1,1,0,1,17,0,6.7912200,144,5,3.6375862,25,11,38.8571429,0,0,0,1,1,125                   
13,39,0,0,0,1,1,0,1,17,0,6.9754100,169,6,3.6635616,25,11,38.8571429,0,0,0,1,1,125                   
14,41,0,0,0,1,1,0,1,17,0,6.9077600,196,7,3.7135721,25,11,38.8571429,0,0,0,1,1,125                   
14,48,0,1,1,1,1,0,0,15,0,6.4769700,196,1,3.8712010,26,17,47.7142857,.1428571,1,1,1,0,293            
15,47,1,1,1,1,1,0,0,15,0,6.5510800,225,2,3.8501476,26,17,47.7142857,.1428571,1,1,1,0,293            
16,49,0,1,1,1,1,0,0,15,0,6.8669300,256,3,3.8918203,26,17,47.7142857,.1428571,1,1,1,0,293            
17,48,0,1,1,1,1,0,0,15,0,6.8564600,289,4,3.8712010,26,17,47.7142857,.1428571,1,1,1,0,293            
18,47,0,1,1,1,1,0,0,15,0,7.2793200,324,5,3.8501476,26,17,47.7142857,.1428571,1,1,1,0,293            
19,47,0,1,1,1,1,0,0,15,0,7.5496100,361,6,3.8501476,26,17,47.7142857,.1428571,1,1,1,0,293            
20,48,0,1,1,1,1,0,0,15,0,7.3670800,400,7,3.8712010,26,17,47.7142857,.1428571,1,1,1,0,293            
8,50,0,0,0,1,0,0,0,16,0,6.0161600,64,1,3.9120230,27,11,45.4285714,0,0,0,.2857143,0,125              
9,52,0,0,0,1,0,0,0,16,0,6.9057500,81,2,3.9512437,27,11,45.4285714,0,0,0,.2857143,0,125              
10,48,0,0,0,0,0,0,0,16,0,7.0475200,100,3,3.8712010,27,11,45.4285714,0,0,0,.2857143,0,125            
11,50,0,0,0,0,0,0,0,16,0,7.2619300,121,4,3.9120230,27,11,45.4285714,0,0,0,.2857143,0,125            
12,50,0,0,0,0,0,0,0,16,0,7.0900800,144,5,3.9120230,27,11,45.4285714,0,0,0,.2857143,0,125            
13,45,0,0,0,0,0,0,0,16,0,6.9631900,169,6,3.8066625,27,11,45.4285714,0,0,0,.2857143,0,125            
14,23,0,0,0,0,0,0,0,16,0,7.3132200,196,7,3.1354942,27,11,45.4285714,0,0,0,.2857143,0,125            
26,50,1,0,0,1,1,0,0,12,0,6.7334000,676,1,3.9120230,28,29,49.7142857,1,0,0,1,0,845                   
27,50,1,0,0,1,1,0,0,12,0,6.6970300,729,2,3.9120230,28,29,49.7142857,1,0,0,1,0,845                   
28,50,1,0,0,1,1,0,0,12,0,6.6846100,784,3,3.9120230,28,29,49.7142857,1,0,0,1,0,845                   
29,50,1,0,0,1,1,0,0,12,0,6.7452400,841,4,3.9120230,28,29,49.7142857,1,0,0,1,0,845                   
30,50,1,0,0,1,1,0,0,12,0,6.7310200,900,5,3.9120230,28,29,49.7142857,1,0,0,1,0,845                   
31,49,1,0,0,1,1,0,0,12,0,6.8023900,961,6,3.8918203,28,29,49.7142857,1,0,0,1,0,845                   
32,49,1,0,0,1,1,0,0,12,0,6.7452400,1024,7,3.8918203,28,29,49.7142857,1,0,0,1,0,845                  
31,49,0,0,0,1,1,0,0,14,0,6.9057500,961,1,3.8918203,29,34,49.1428571,0,0,0,1,0,1160                  
32,49,0,0,0,1,1,0,0,14,0,6.9057500,1024,2,3.8918203,29,34,49.1428571,0,0,0,1,0,1160                 
33,49,0,0,0,1,1,0,0,14,0,7.0621900,1089,3,3.8918203,29,34,49.1428571,0,0,0,1,0,1160                 
34,49,0,0,0,1,1,0,0,14,0,7.5755800,1156,4,3.8918203,29,34,49.1428571,0,0,0,1,0,1160                 
35,50,0,0,0,1,1,0,0,14,0,7.6732200,1225,5,3.9120230,29,34,49.1428571,0,0,0,1,0,1160                 
36,49,0,0,0,1,1,0,0,14,0,7.4730700,1296,6,3.8918203,29,34,49.1428571,0,0,0,1,0,1160                 
37,49,0,0,0,1,1,0,0,14,0,7.5600800,1369,7,3.8918203,29,34,49.1428571,0,0,0,1,0,1160                 
17,47,0,0,1,1,0,1,0,12,0,6.1964400,289,1,3.8501476,30,20,47.7142857,0,0,1,1,0,404                   
18,47,0,0,1,1,0,1,0,12,0,6.2989500,324,2,3.8501476,30,20,47.7142857,0,0,1,1,0,404                   
19,48,0,0,1,1,0,1,0,12,0,6.3315000,361,3,3.8712010,30,20,47.7142857,0,0,1,1,0,404                   
20,49,0,0,1,1,0,1,0,12,0,6.3630300,400,4,3.8918203,30,20,47.7142857,0,0,1,1,0,404                   
21,49,0,0,1,1,0,1,0,12,0,6.4815800,441,5,3.8918203,30,20,47.7142857,0,0,1,1,0,404                   
22,45,0,0,1,1,0,1,0,12,0,6.5778600,484,6,3.8066625,30,20,47.7142857,0,0,1,1,0,404                   
23,49,0,0,1,1,0,1,0,12,0,6.6437900,529,7,3.8918203,30,20,47.7142857,0,0,1,1,0,404                   
22,48,0,1,0,1,1,0,0,17,0,6.9057500,484,1,3.8712010,31,25,46.5714286,0,.8571429,0,1,0,629            
23,48,0,1,0,1,1,0,0,17,0,6.9057500,529,2,3.8712010,31,25,46.5714286,0,.8571429,0,1,0,629            
24,48,0,1,0,1,1,0,0,17,0,7.3132200,576,3,3.8712010,31,25,46.5714286,0,.8571429,0,1,0,629            
25,47,0,1,0,1,1,0,0,17,0,7.2442300,625,4,3.8501476,31,25,46.5714286,0,.8571429,0,1,0,629            
26,43,0,1,0,1,1,0,0,17,0,7.4843700,676,5,3.7612001,31,25,46.5714286,0,.8571429,0,1,0,629            
27,47,0,0,0,1,1,0,0,17,0,7.5496100,729,6,3.8501476,31,25,46.5714286,0,.8571429,0,1,0,629            
28,45,0,1,0,1,1,0,0,17,0,7.6133200,784,7,3.8066625,31,25,46.5714286,0,.8571429,0,1,0,629            
30,50,0,1,0,1,1,0,0,16,0,6.9057500,900,1,3.9120230,32,33,48.4285714,0,1,0,1,0,1093                  
